Times University,Top University
"University of Glasgow","University of Glasgow"
"University of Groningen","University of Groningen"
"University of New South Wales unsw australia unsw","NaN"
"Uppsala University","Uppsala University"
"University of Helsinki","University of Helsinki"
"Technical University of Berlin","NaN"
"University of Tübingen","NaN"
"Korea Advanced Institute of Science and Technology (KAIST)","NaN"
"Durham University","Durham University"
"'University of California, Irvine'","NaN"
"'versity of Colorado Boulder'''","NaN"
"Maastricht University","Maastricht University"
"University of Bern","University of Bern"
"University of Montreal","NaN"
"University of Copenhagen","University of Copenhagen"
"University of Western Australia uwa","NaN"
"University of Virginia","University of Virginia"
"Indiana University","Indiana University Bloomington"
"City University of Hong Kong CityU HK City U Hong Kong","NaN"
"Queen Mary University of London","Queen Mary University of London"
"Georgetown University","Georgetown University"
"University of Mannheim","NaN"
"Charité - Universitätsmedizin Berlin","NaN"
"Université Catholique de Louvain","Université catholique de Louvain (UCL)"
"University of Geneva","University of Geneva"
"Karlsruhe Institute of Technology","KIT, Karlsruhe Institute of Technology"
"Stockholm University","Stockholm University"
"Pohang University of Science and Technology postech","Pohang University of Science And Technology (POSTECH)"
"University of York","University of York"
"University of Birmingham","University of Birmingham"
"University of Florida","University of Florida"
"University of Cologne","University of Cologne"
"Autonomous University of Barcelona","NaN"
"University of Sussex","University of Sussex"
"University of Notre Dame","University of Notre Dame"
"Technical University of Denmark","Technical University of Denmark"
"Scuola Superiore Sant’Anna","NaN"
"Case Western Reserve University","Case Western Reserve University"
"Texas A&M University","Texas A&M University"
"'University of California, Santa Cruz'","NaN"
"University of Erlangen-Nuremberg","NaN"
"Vrije Universiteit Amsterdam","Vrije Universiteit Amsterdam"
"University of Alabama at Birmingham","NaN"
"Tufts University","Tufts University"
"'Rutgers, the State University of New Jersey'","NaN"
"KTH Royal Institute of Technology","KTH Royal Institute of Technology"
"Université Libre de Bruxelles","NaN"
"University of Liverpool","University of Liverpool"
"Zhejiang University ZJU Zhejiang University China research","NaN"
"University of Luxembourg","NaN"
"Paris-Sud University","NaN"
"Hong Kong Polytechnic University hkpu hong kong poly","NaN"
"Scuola Normale Superiore di Pisa","Scuola Normale Superiore di Pisa"
"University of Miami","University of Miami"
"University of East Anglia","University of East Anglia (UEA)"
"Aalto University","Aalto University"
"University of Auckland","The University of Auckland"
"Lomonosov Moscow State University","Lomonosov Moscow State University"
"Paris-Sorbonne University – Paris 4","NaN"
"'Royal Holloway, University of London'","NaN"
"'University of California, Riverside'","NaN"
"National Taiwan University","National Taiwan University (NTU)"
"University of Cambridge","University of Cambridge"
"Stanford University","Stanford University"
"Harvard University","Harvard University"
"Imperial College London","Imperial College London"
"KU Leuven","KU Leuven"
"Pompeu Fabra University","NaN"
"Yale University","Yale University"
"Columbia University","Columbia University"
"Ulm University","University Ulm"
"Duke University","Duke University"
"Cornell University","Cornell University"
"University of Michigan","University of Michigan"
"University of Toronto","University of Toronto"
"University of Edinburgh","The University of Edinburgh"
"Peking University","Peking University"
"University of Melbourne","The University of Melbourne"
"University of British Columbia","University of British Columbia"
"University of Tokyo","The University of Tokyo"
"University of Texas at Austin","University of Texas at Austin"
"Washington University in St Louis","Washington University in St. Louis"
"McGill University","McGill University"
"University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Karolinska Institute","NaN"
"University of Amsterdam","University of Amsterdam"
"University of Sydney","The University of New South Wales (UNSW Sydney)"
"Delft University of Technology","Delft University of Technology"
"University of Queensland","The University of Queensland"
"Leiden University","Leiden University"
"University of Manchester","The University of Manchester"
"Seoul National University","Seoul National University"
"Pennsylvania State University","Pennsylvania State University"
"RWTH Aachen University","RWTH Aachen University"
"Monash University","Monash University"
"Michigan State University","Michigan State University"
"Rice University","Rice University"
"Free University of Berlin","NaN"
"University of Warwick","The University of Warwick"
"Lund University","Lund University"
"University of Basel","University of Basel"
"Emory University","Emory University"
"University of Bonn","NaN"
"Boston University","Boston University"
"Erasmus University Rotterdam","Erasmus University Rotterdam"
"Radboud University Nijmegen","NaN"
"Pierre and Marie Curie University","NaN"
"Arizona State University","Arizona State University"
"University of Southampton","University of Southampton"
"University of Exeter","The University of Exeter"
"University of Science and Technology of China","University of Science and Technology of China"
"University of Adelaide","The University of Adelaide"
"University of Zurich","University of Zurich"
"University of Leicester","University of Leicester"
"University of Arizona","The University of Arizona"
"Cardiff University","Cardiff University"
"University of Vienna","University of Vienna"
"University of Würzburg","NaN"
"Nanjing University","Nanjing University"
"University of Pittsburgh","University of Pittsburgh"
"University of Sheffield","The University of Sheffield"
"Vanderbilt University","Vanderbilt University"
"Aarhus University","Aarhus University"
"Sungkyunkwan University (SKKU)","Sungkyunkwan University (SKKU)"
"University of Göttingen","University of Göttingen"
"École Polytechnique","NaN"
"Trinity College Dublin","Trinity College Dublin, The University of Dublin"
"University of Leeds","University of Leeds"
"Eindhoven University of Technology","Eindhoven University of Technology"
"University of St Andrews","University of St Andrews"
"University of Oslo","University of Oslo"
"University of Nottingham","The University of Nottingham"
"Lancaster University","Lancaster University"
"University of Lausanne","University of Lausanne"
"University of Rochester","University of Rochester"
"TU Dresden","NaN"
"University of Münster","NaN"
"Newcastle University","Newcastle University"
"University of Cape Town","University of Cape Town"
"University of Aberdeen","University of Aberdeen"
"University of Dundee","University of Dundee"
"Shanghai Jiao Tong University","Shanghai Jiao Tong University"
"University of Massachusetts","University of Massachusetts Amherst"
"Northeastern University","Northeastern University"
"Tilburg University","Tilburg University"
"University of Twente","University of Twente"
"École Normale Supérieure de Lyon","École Normale Supérieure de Lyon"
"University of Gothenburg","University of Gothenburg"
"University of Freiburg","NaN"
"Fudan University","Fudan University"
"University of Alberta","University of Alberta"
"Dartmouth College","Dartmouth College"
"Ghent University","Ghent University"
